#X	Y	CAT	NAME
0	0	1	Rezonátor 455 kHz
1	0	1	XT 3.579545 MHz
2	0	1	XT 3.6864 MHz
3	0	1	XT 4 MHz
4	0	1	XT 4.096 MHz
5	0	1	XT 6 MHz
6	0	1	XT 8 MHz
7	0	1	XT 11.0592 MHz
8	0	1	XT 12 MHz
9	0	1	XT 14.7456 MHz
10	0	1	XT 20 MHz
11	0	1	Nenadepsáno 1
12	0	1	XT 32 MHz
13	0	1	XT 48 MHz
14	0	1	Nenadepsáno 2
0	1	1	ATtiny 13
1	1	1	ATmega 8
2	1	1	ATmega 8L
3	1	1	ATmega 16
4	1	1	ATmega 32
5	1	1	Nenadepsáno 3
6	1	1	AT89C4051
1	2	1	PCF 8583
2	2	1	ENC 28360 - I/SP
3	2	1	74HC4066 (quad switch)
4	2	1	MCP 2513 - I/P
5	2	1	MCP 2551 - I/P
6	2	1	MAX 485
7	2	1	MAX 232
8	2	1	DS18B20
9	2	1	24LC08
10	2	1	LM32 (čidlo teploty)
11	2	1	FT231XS
12	2	1	DC-DC drivery
0	3	1	IR2153SPBF
1	3	1	IR2101PBF
2	3	1	TC4452VOA
0	4	1	4011
1	4	1	4017
2	4	1	4028
3	4	1	4049
4	4	1	4068
5	4	1	4543
6	4	1	7420
7	4	1	74595
8	4	1	7400
9	4	1	7408
10	4	1	7475
11	4	1	75176
12	4	1	24C16
0	5	1	NE555
1	5	1	NE602
2	5	1	LM311
3	5	1	LM358
4	5	1	TDA2003
5	5	1	L200
6	5	1	LM386
7	5	1	LM3914
8	5	1	LM1458
9	5	1	LM324
10	5	1	LM339
11	5	1	CA3130EZ
12	5	1	TL072
13	5	1	Nenadepsáno 4
14	5	1	Nenadepsáno 5
15	5	1	Nenadepsáno 6
0	6	1	1N4148
1	6	1	1N5008
2	6	1	1N5402
3	6	1	1N5819
4	6	1	1N5822
5	6	1	S1D
6	6	1	B4621M
7	6	1	Zener 5V6
8	6	1	5V1
9	6	1	BAT 85
10	6	1	BAT 46
11	6	1	BAV 99W
12	6	1	P6KE24A
13	6	1	1.5KE24CA
14	6	1	Nenadepsáno 7
15	6	1	Nenadepsáno 8
0	7	1	DF10M
1	7	1	W01M
2	7	1	Nenadepsáno 9
3	7	1	Nenadepsáno 10
4	7	1	PC817
6	7	1	IR
8	7	1	BF199
9	7	1	7803
10	7	1	7805
11	7	1	7809
12	7	1	7812
13	7	1	7815
14	7	1	7824
15	7	1	LM317
0	8	1	BC557 PNP
1	8	1	BC547 NPN
2	8	1	BC857 PNP
3	8	1	BC847 NPN
4	8	1	TIP 122
5	8	1	SS 8050
6	8	1	BF245C
7	8	1	-
8	8	1	BF420
9	8	1	BS108
10	8	1	BS170
11	8	1	BD140
12	8	1	IRF1010 hexfet
13	8	1	IR64BC10SD-SPBF
14	8	1	IRFS4229PBF hexfet
15	8	1	IRFR9N20DPBF
0	9	1	MCR100 (tyristor)
6	9	1	LL-503PTC2E-1AD (fototranzistor)
10	9	1	Feritový korálek SMD
11	9	1	L 100uH
12	9	1	SMD L 10uH
13	9	1	Nenadepsáno 11
14	9	1	Nenadepsáno 12
15	9	1	Nenadepsáno 13
